adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/pcJ4CcixagF4cAdUYuhjhyBRhqK.jpg,"[18, 35]",570511,ko,"힘을 내요, 미스터 리","Chul-soo is a man with an intellectual disability.  One day, Chul-soo finds out that a young girl, Saet-byul, who is in hospital is his daughter.  And soon, Saet-byul sneaks out of the hospital and travels by herself to a faraway city for her friend's birthday.  As Chul-soo accompanies Saet-byul's journey, friendship develops between the two.",8.271,/hqwWHeHRHSMiw6xxMvLvFZYMSX4.jpg,2019-09-11,"Cheer Up, Mr. Lee",False,8.6,16
False,/bOUKDbOe7hxGUHQHYJ7VCKkziZ3.jpg,"[28, 53, 80]",432139,ta,விக்ரம் வேதா,A notorious gangster Vedha surrenders himself to encounter specialist Vikram whom he challenges every step of the way by narrating his life events in the form of riddles that needs to be solved in order to capture him.,10.034,/ob9YxdzRu5lfKgz0PNrlL45dorf.jpg,2017-07-21,Vikram Vedha,False,7.5,126
False,/kdSas9DNTfyNaccDxXJuHJq1j5C.jpg,"[18, 10749]",663566,en,Timeless Love,"Megan seems to have the perfect life with a wonderful husband named Thomas and 2 adorable children. Then she finds herself awakening from a coma - and discovers she is not and has never been married. But when she meets Thomas for real, she seizes the chance to help him fall in love with her, again-for the first time.",6.643,/owH4AZj42ME7WIGDbBS9rnBdeiU.jpg,2019-12-26,Timeless Love,False,6.8,20
False,/3KdB5i4dQn4WGKXoWoHYmVcDjwf.jpg,"[35, 80, 18]",429416,en,The Jesus Rolls,"Hours after his release from prison, Jesus Quintana pairs up with fellow misfits Petey and Marie for a freewheeling joyride of petty crime and romance.",11.887,/wxXZXYNn1H5eVRbpTZVFvWBvjlY.jpg,2019-10-17,The Jesus Rolls,False,4.5,107
False,/b9DAKExon5KNipUlWj7zaTGJ3pv.jpg,"[35, 18]",691422,en,When You Finish Saving the World,"Evelyn and her son, Ziggy, seek out replacements for each other. As Evelyn tries to parent an unassuming teenager at her shelter, Ziggy fumbles through his pursuit of a brilliant young woman at school.",8.812,/ywE49PLLtmmrrBXW4E1Ikvyn4H2.jpg,2022-05-18,When You Finish Saving the World,False,5.6,4
False,/4LESGiXXBZjJUrQw4VEmb95eXOq.jpg,[10402],719643,en,Black Is King,"This visual album from Beyoncé reimagines the lessons of ""The Lion King"" (2019) for today’s young kings and queens in search of their own crowns.",6.797,/2u1cyQgBpWWypISdbUDCu2hasGV.jpg,2020-07-31,Black Is King,False,7.4,110
False,/cP39k9l7VzJ5m7h2tGNfw1vrVF4.jpg,[35],402688,es,Abracadabra,A housewife struggles with her husband after he is possessed by a ghost.,6.782,/q4O5SUuz21gmnd0iwKMzMU1BQ5V.jpg,2017-08-04,Abracadabra,False,5.2,125
False,/5at9D79P4BpOAtm7fPOyhEh2gDF.jpg,"[35, 27]",535849,zh,切小金家的旅館,"Xiaogin transferred to the third school during his fifth year at high school. During the winter vacation, his grandparents tricked him into returning to the hotel which was founded by his parents. Xiaogin’s classmates Little Princess and Lu Qun tagged along uninvited to escape being bullied at school.  While the three boys were temporarily staying at Xiaogin’s family hotel, they quickly found out that the hotel was in terrible shape and was also haunted. Xiaogin and his friends have developed an extremely close friendship while they are trying to step closer to the truth. Will they find out the secret that hides underneath the steaming hot springs?",7.604,/oq9JHlqcgZJdPDiHnc2W4aF9wvr.jpg,2018-07-11,Secrets in the Hot Spring,False,6.8,19
False,/ttljH8LPoHfAyXtkru1jaPjQyNL.jpg,"[28, 18]",654739,ko,발신제한,"Sung-Kyu (Jo Woo-Jin) works as a manager at a bank branch. One morning, he sets off to drive his kids to school and then go to work, but he receives a phone call without a caller ID. The caller tells him ""when you get out the car, a bomb will explode.""",8.364,/y2Aimt8isimtigec3e4kB2G9FMR.jpg,2021-06-23,Hard Hit,False,6.7,35
False,/dT10Xm5Y0VQ6q9muppsHFuSXSbq.jpg,[18],923018,ko,아내의 예쁜동생,"Min-ji has had a crush on her brother-in-law who was her tutor for a long time. She seduces his brother-in-law, Jeong-hyeok, but he doesn't easily fall for it, so she takes special measures.",9.841,/ys4FeRoLFkq6scXXK5syNYgFVRj.jpg,2021-12-10,Wife's Pretty Daughter,False,0.0,0
False,/ipTzZ2ZpQZNTw9hVos0Q0M0AjD4.jpg,[18],485166,fr,Amanda,"David, who gets by doing odd jobs, meets Léna, who has just moved up to Paris, and falls in love. But soon after, his life is brutally interrupted by the sudden death of his sister. Beyond the shock, and the pain, David now finds himself alone with his young niece Amanda to care for.",7.784,/yVFYLDg6T8Qo7Kain3sLoVScq6I.jpg,2018-08-31,Amanda,False,7.1,223
False,/tfxRXujXbi2esl8WLhdqzixjbIY.jpg,[],669444,fr,Les chevaliers du fiel dynamitent 2019,,11.869,/oh6AZL0nnQdnz8bazoDzTAVVHfB.jpg,2020-03-01,Les chevaliers du fiel dynamitent 2019,False,5.3,8
False,/bbXkDYnZEpEUD6MN0KcJJ2s85NH.jpg,"[18, 10770]",574151,en,Love You To Death,"Inspired by a true story, this film tells the shocking tale of a mother and daughter who are nothing like they seem, their tumultuous relationship ending in a brutal murder.",10.435,/czVN1JwTPZByvzECEo9V0ZQyDpa.jpg,2019-01-26,Love You To Death,False,7.9,80
False,/hgFJd0IsXDPFF77F4VqjlJvTlkc.jpg,[27],477187,es,El habitante,"Three sisters enter the house of a senator with the intention of stealing money obtained from bribes, but once inside, they begin to hear strange cries coming from the basement.",8.813,/E1ryc3622t0iQqyqJTZnhHripg.jpg,2018-06-21,The Inhabitant,False,5.8,76
False,/mqOmaSwgAiKCzh5z9LHwWC5sx0X.jpg,"[36, 10752, 18, 28]",647063,en,The Great War,"In November of 1918 as World War I was ending, a unit of American soldiers goes behind enemy lines to find a lost platoon of African American soldiers.",6.059,/mB8sqwHkVZWBvhEn71ICewPCfNS.jpg,2019-12-13,The Great War,False,7.4,59
False,/bZB7hVBIdQ4a0Ke4nCoPFCX7sjZ.jpg,"[28, 878, 18]",503346,en,Occupation,"Town residents must band together after a devastating alien invasion. As they struggle to survive, they realize they must stay one step ahead of their attackers and work together for a chance to strike back.",10.782,/hr7MFQAmP30IJZP2FXKhPKbe8IW.jpg,2018-07-12,Occupation,False,4.4,162
False,/ec1gKII0QQK7FT7bdiJC49i3zz8.jpg,[18],615466,en,All Together Now,"An optimistic, talented teen clings to a huge secret: she's homeless and living on a school bus. When tragedy strikes, can she learn to accept a helping hand?",5.795,/4QIpIHoYdlt9ekD6mSIxe0FylpR.jpg,2020-08-28,All Together Now,False,6.8,165
False,/2UYTeccpmz8O0OkhhzIcIoHvKyE.jpg,[18],427214,en,The Happy Prince,"In 1895, Oscar Wilde (1854-1900) was the most famous writer in London, and Bosie Douglas, son of the notorious Marquess of Queensberry, was his lover. Accused and convicted of gross indecency, he was imprisoned for two years and subjected to hard labor. Once free, he abandons England to live in France, where he will spend his last years, haunted by memories of the past, poverty and immense sadness.",8.781,/j9D8C3RpqEjm1bZpbl7QKhkBsFl.jpg,2018-04-12,The Happy Prince,False,6.5,134
